statement_number,category,statement,suggestion
1,Standards,The document is free of grammatical errors.,Run a thorough grammar check and consider a second reviewer for correct sentence structure and punctuation.
2,Standards,The document is free of spelling errors.,Use a spell-checker and verify  spelling of technical terms.
3,Standards,The document is presented at a 6th grade reading level.,Rewrite with plain language and shorter sentences; remove or define jargon.
4,Standards,The document identifies a target audience or area.,Clearly state the intended audience/area.
5,Standards,The document uses appropriate language and graphics.,Remove or define technical jargon; clarify or remove mismatched visuals; use lay terms and relevant graphics as appropriate.
6,Standards,The document was created by a trusted source.,"If a trusted source did create the document, make sure to highlight the author/agency/program and add appropriate credentials or logos, and consider a contact line."
7,Standards,The document identifies a problem.,"Add a clear, problem statement to frame the need of the extension document."
8,Standards,The document provides opportunity for more information.,Provide a working URL/QR code and/or contact  (phone number/ email address) for more information.
9,Content Development,Content is accurate.,"Verify facts presented using current scientific literature and agency (e.g., CDC) guidance; add references as appropriate."
10,Content Development,Content is the appropriate amount of information.,Trim nonessential detail and/or add missing key points to make the message complete and concise.
11,Content Development,The document provides a simple solution to a problem.,Focus on one or a few simple actions/solutions to the identified problem; keep alternatives brief.
12,Content Development,The document provides content on HOW to use the solution.,Add step-by-step instruction (or sufficient detail) to allow the audience to determine what needs to be done to follow the extension document's guidance.
13,Content Development,The document provides content on WHEN to use the solution.,Specify timing/frequency for proposed solutions.
14,Content Development,The document provides content on WHERE to use the solution.,Identify locations/settings where actions/solutions to the identified problem are needed.
15,Content Development,The document provides reason or cause for using the solution.,"Briefly explain why the action addresses or solves the identified problem. For example, how does the solution reduce risk and what benefits should the audience who follows the extension document's advice expect as a result."
16,Targeted Messaging,The document is accessible.,"Improve font size/contrast (no one likes tiny font or shades of blue font on shades of blue backgrounds), add headings and alternative text, and simplify language; include translations if needed. Remember that a significant proportion of your audience will be red-green color blind."
17,Targeted Messaging,The document is culturally relevant.,Adapt examples/imagery to reflect local communities and practices; pilot with stakeholders.
18,Targeted Messaging,The document uses graphics/models in illustrations that reflect target audience(s) or area(s).,Swap in photos/illustrations that better match the target audience and local environments.
19,Visual Design,The document is clear and organized.,Organize with clear headings and adequate white/blank space; group related points in a logical order.
20,Visual Design,"The document is visually appealing including design, font, and layout.","Harmonize colors and style (fonts, shapes, etc.); ensure consistent margins and spacing. Reduce clutter. Aim for ""sparking joy"" :)"
21,Visual Design,The document uses graphics and icons.,"Add simple, informative visuals (e.g., tick removal steps) with captions. A picture is worth a thousand words - no one likes an all text document."
22,Visual Design,The document is creative and original.,The idea is to make it engaging and somehow novel enough to keep the audience interested in reading it. Consider brainstorming with a communications department or a creative friend.
23,Action Based,The document provides a specific solution that is based on an action or behavior.,"Translate general advice into specific, do-able behaviors. Aim for including solutions that can be put into practice by the audience."
24,Action Based,The solution is achievable and promotes self-efficacy.,"Break tasks into small steps, list low-cost options, and include encouraging language."
25,Action Based,"The solution does not cause potential harm, fear, and/or stress.",Avoid alarmist wording; include safety precautions and reassurance to minimize fear.
26,Action Based,The solution does not require hard to obtain materials.,Any proposed solution should be accessible to those who can only find or afford commonly available materials; look for alternative materials if necessary.
27,Action Based,"The solution can be quantified, evaluated, and/or assessed.","This is really about presenting tangible, concrete solutions to problems; make sure such solutions have been identified."
